episode_id,instance_id,seed,incumbent_ref,episode_path,num_events,num_arrivals,num_breakdowns,first_event_time,last_event_time
mk10_seed00_ep001,mk10,0,outputs\episodesrandimarte_heldout\incumbents\mk10_seed00.json,outputs\episodesrandimarte_heldout\episodes\mk10_seed00_ep001.json,8,4,4,232.89131467565184,867.1751965253973
mk10_seed01_ep001,mk10,1,outputs\episodesrandimarte_heldout\incumbents\mk10_seed01.json,outputs\episodesrandimarte_heldout\episodes\mk10_seed01_ep001.json,8,4,4,138.52864859059167,794.9390820307137
mk10_seed02_ep001,mk10,2,outputs\episodesrandimarte_heldout\incumbents\mk10_seed02.json,outputs\episodesrandimarte_heldout\episodes\mk10_seed02_ep001.json,8,4,4,267.84399458507033,957.369187711877
mk10_seed03_ep001,mk10,3,outputs\episodesrandimarte_heldout\incumbents\mk10_seed03.json,outputs\episodesrandimarte_heldout\episodes\mk10_seed03_ep001.json,8,4,4,250.02173972003214,882.7581428721146
mk10_seed04_ep001,mk10,4,outputs\episodesrandimarte_heldout\incumbents\mk10_seed04.json,outputs\episodesrandimarte_heldout\episodes\mk10_seed04_ep001.json,8,4,4,185.10166396914897,890.2574993663995
mk10_seed05_ep001,mk10,5,outputs\episodesrandimarte_heldout\incumbents\mk10_seed05.json,outputs\episodesrandimarte_heldout\episodes\mk10_seed05_ep001.json,8,4,4,225.03957614599247,749.1123988469365
mk10_seed06_ep001,mk10,6,outputs\episodesrandimarte_heldout\incumbents\mk10_seed06.json,outputs\episodesrandimarte_heldout\episodes\mk10_seed06_ep001.json,8,4,4,230.38675670257933,929.296987613938
mk10_seed07_ep001,mk10,7,outputs\episodesrandimarte_heldout\incumbents\mk10_seed07.json,outputs\episodesrandimarte_heldout\episodes\mk10_seed07_ep001.json,8,4,4,184.40551745507935,600.9243921936798
mk10_seed08_ep001,mk10,8,outputs\episodesrandimarte_heldout\incumbents\mk10_seed08.json,outputs\episodesrandimarte_heldout\episodes\mk10_seed08_ep001.json,8,4,4,263.4667233467148,760.1046071425371
mk10_seed09_ep001,mk10,9,outputs\episodesrandimarte_heldout\incumbents\mk10_seed09.json,outputs\episodesrandimarte_heldout\episodes\mk10_seed09_ep001.json,8,4,4,387.91994437844266,917.6033982033555
mk6_seed00_ep001,mk6,0,outputs\episodesrandimarte_heldout\incumbents\mk6_seed00.json,outputs\episodesrandimarte_heldout\episodes\mk6_seed00_ep001.json,8,4,4,53.11556299620129,215.17744111424867
mk6_seed01_ep001,mk6,1,outputs\episodesrandimarte_heldout\incumbents\mk6_seed01.json,outputs\episodesrandimarte_heldout\episodes\mk6_seed01_ep001.json,8,4,4,48.770514644136775,165.51014140636178
mk6_seed02_ep001,mk6,2,outputs\episodesrandimarte_heldout\incumbents\mk6_seed02.json,outputs\episodesrandimarte_heldout\episodes\mk6_seed02_ep001.json,8,4,4,61.08722683519147,218.34735860095435
mk6_seed03_ep001,mk6,3,outputs\episodesrandimarte_heldout\incumbents\mk6_seed03.json,outputs\episodesrandimarte_heldout\episodes\mk6_seed03_ep001.json,8,4,4,57.022502041410846,201.33080451469277
mk6_seed04_ep001,mk6,4,outputs\episodesrandimarte_heldout\incumbents\mk6_seed04.json,outputs\episodesrandimarte_heldout\episodes\mk6_seed04_ep001.json,8,4,4,49.89147952979949,203.04118406602095
mk6_seed05_ep001,mk6,5,outputs\episodesrandimarte_heldout\incumbents\mk6_seed05.json,outputs\episodesrandimarte_heldout\episodes\mk6_seed05_ep001.json,8,4,4,51.324815612243896,170.85019622824868
mk6_seed06_ep001,mk6,6,outputs\episodesrandimarte_heldout\incumbents\mk6_seed06.json,outputs\episodesrandimarte_heldout\episodes\mk6_seed06_ep001.json,8,4,4,52.54434801988651,211.94492699967003
mk6_seed07_ep001,mk6,7,outputs\episodesrandimarte_heldout\incumbents\mk6_seed07.json,outputs\episodesrandimarte_heldout\episodes\mk6_seed07_ep001.json,8,4,4,42.057398717825116,108.39246544201507
mk6_seed08_ep001,mk6,8,outputs\episodesrandimarte_heldout\incumbents\mk6_seed08.json,outputs\episodesrandimarte_heldout\episodes\mk6_seed08_ep001.json,8,4,4,60.08890181591741,173.35719110268394
mk6_seed09_ep001,mk6,9,outputs\episodesrandimarte_heldout\incumbents\mk6_seed09.json,outputs\episodesrandimarte_heldout\episodes\mk6_seed09_ep001.json,8,4,4,60.61982065088836,206.49143432555263
mk7_seed00_ep001,mk7,0,outputs\episodesrandimarte_heldout\incumbents\mk7_seed00.json,outputs\episodesrandimarte_heldout\episodes\mk7_seed00_ep001.json,8,4,4,91.079571163358,368.97413780808665
mk7_seed01_ep001,mk7,1,outputs\episodesrandimarte_heldout\incumbents\mk7_seed01.json,outputs\episodesrandimarte_heldout\episodes\mk7_seed01_ep001.json,8,4,4,83.6289273545294,283.807454014114
mk7_seed02_ep001,mk7,2,outputs\episodesrandimarte_heldout\incumbents\mk7_seed02.json,outputs\episodesrandimarte_heldout\episodes\mk7_seed02_ep001.json,8,4,4,104.74893063085719,374.40973349843136
