episode_id,instance_id,seed,incumbent_ref,episode_path,num_events,num_arrivals,num_breakdowns,first_event_time,last_event_time
syn_100x20_01_seed00_ep001,syn_100x20_01,0,outputs\episodes\synthetic_100x20\incumbents\syn_100x20_01_seed00.json,outputs\episodes\synthetic_100x20\episodes\syn_100x20_01_seed00_ep001.json,8,4,4,2325.6525979690205,5739.444438951209
syn_100x20_01_seed01_ep001,syn_100x20_01,1,outputs\episodes\synthetic_100x20\incumbents\syn_100x20_01_seed01.json,outputs\episodes\synthetic_100x20\episodes\syn_100x20_01_seed01_ep001.json,8,4,4,1510.8874858747586,5292.710656898783
syn_100x20_01_seed02_ep001,syn_100x20_01,2,outputs\episodes\synthetic_100x20\incumbents\syn_100x20_01_seed02.json,outputs\episodes\synthetic_100x20\episodes\syn_100x20_01_seed02_ep001.json,8,4,4,1629.3843003925112,5572.721476249183
syn_100x20_01_seed03_ep001,syn_100x20_01,3,outputs\episodes\synthetic_100x20\incumbents\syn_100x20_01_seed03.json,outputs\episodes\synthetic_100x20\episodes\syn_100x20_01_seed03_ep001.json,8,4,4,1520.9655832968624,5370.112035805363
syn_100x20_01_seed04_ep001,syn_100x20_01,4,outputs\episodes\synthetic_100x20\incumbents\syn_100x20_01_seed04.json,outputs\episodes\synthetic_100x20\episodes\syn_100x20_01_seed04_ep001.json,8,4,4,1330.7592713044596,5415.733121145598
syn_100x20_02_seed00_ep001,syn_100x20_02,0,outputs\episodes\synthetic_100x20\incumbents\syn_100x20_02_seed00.json,outputs\episodes\synthetic_100x20\episodes\syn_100x20_02_seed00_ep001.json,8,4,4,1998.127382297344,4931.149692201532
syn_100x20_02_seed01_ep001,syn_100x20_02,1,outputs\episodes\synthetic_100x20\incumbents\syn_100x20_02_seed01.json,outputs\episodes\synthetic_100x20\episodes\syn_100x20_02_seed01_ep001.json,8,4,4,1298.1068882485608,4547.330112572255
syn_100x20_02_seed02_ep001,syn_100x20_02,2,outputs\episodes\synthetic_100x20\incumbents\syn_100x20_02_seed02.json,outputs\episodes\synthetic_100x20\episodes\syn_100x20_02_seed02_ep001.json,8,4,4,1399.915614973138,4787.906579570015
syn_100x20_02_seed03_ep001,syn_100x20_02,3,outputs\episodes\synthetic_100x20\incumbents\syn_100x20_02_seed03.json,outputs\episodes\synthetic_100x20\episodes\syn_100x20_02_seed03_ep001.json,8,4,4,1306.7656717823318,4613.830936795043
syn_100x20_02_seed04_ep001,syn_100x20_02,4,outputs\episodes\synthetic_100x20\incumbents\syn_100x20_02_seed04.json,outputs\episodes\synthetic_100x20\episodes\syn_100x20_02_seed04_ep001.json,8,4,4,1143.3464058912384,4653.027134846314
syn_100x20_03_seed00_ep001,syn_100x20_03,0,outputs\episodes\synthetic_100x20\incumbents\syn_100x20_03_seed00.json,outputs\episodes\synthetic_100x20\episodes\syn_100x20_03_seed00_ep001.json,8,4,4,2240.69725192449,5529.784368121941
syn_100x20_03_seed01_ep001,syn_100x20_03,1,outputs\episodes\synthetic_100x20\incumbents\syn_100x20_03_seed01.json,outputs\episodes\synthetic_100x20\episodes\syn_100x20_03_seed01_ep001.json,8,4,4,1455.6952489478267,5099.369628336271
syn_100x20_03_seed02_ep001,syn_100x20_03,2,outputs\episodes\synthetic_100x20\incumbents\syn_100x20_03_seed02.json,outputs\episodes\synthetic_100x20\episodes\syn_100x20_03_seed02_ep001.json,8,4,4,1569.86341270694,5369.1517419569755
syn_100x20_03_seed03_ep001,syn_100x20_03,3,outputs\episodes\synthetic_100x20\incumbents\syn_100x20_03_seed03.json,outputs\episodes\synthetic_100x20\episodes\syn_100x20_03_seed03_ep001.json,8,4,4,1465.4051966924108,5173.94355961156
syn_100x20_03_seed04_ep001,syn_100x20_03,4,outputs\episodes\synthetic_100x20\incumbents\syn_100x20_03_seed04.json,outputs\episodes\synthetic_100x20\episodes\syn_100x20_03_seed04_ep001.json,8,4,4,1282.1470604805525,5217.898121286397
syn_100x20_04_seed00_ep001,syn_100x20_04,0,outputs\episodes\synthetic_100x20\incumbents\syn_100x20_04_seed00.json,outputs\episodes\synthetic_100x20\episodes\syn_100x20_04_seed00_ep001.json,8,4,4,2303.295927957302,5684.270736101402
syn_100x20_04_seed01_ep001,syn_100x20_04,1,outputs\episodes\synthetic_100x20\incumbents\syn_100x20_04_seed01.json,outputs\episodes\synthetic_100x20\episodes\syn_100x20_04_seed01_ep001.json,8,4,4,1496.3632129992502,5241.831438856017
syn_100x20_04_seed02_ep001,syn_100x20_04,2,outputs\episodes\synthetic_100x20\incumbents\syn_100x20_04_seed02.json,outputs\episodes\synthetic_100x20\episodes\syn_100x20_04_seed02_ep001.json,8,4,4,1613.7209088963082,5519.150493540707
